model,split,total_epochs,best_fit_epoch,box_p_best_fit,box_r_best_fit,box_map50_best_fit,box_map50_95_best_fit,mask_p_best_fit,mask_r_best_fit,mask_map50_best_fit,mask_map50_95_best_fit,max_box_map50,max_box_map50_95,max_mask_map50,max_mask_map50_95,best_mask_epoch,mask_p_at_best_mask,mask_r_at_best_mask,mask_map50_at_best_mask,mask_map50_95_at_best_mask,mask_map50_last,mask_map50_95_last
Baseline,s0,100,100,0.93452,0.85039,0.91801,0.74841,0.92497,0.87365,0.92081,0.72317,0.92231,0.74841,0.92569,0.72576,97,0.91855,0.88798,0.92003,0.72576,0.92081,0.72317
Baseline,s1,100,98,0.90954,0.87084,0.91587,0.75118,0.91774,0.87848,0.92232,0.74345,0.92345,0.75272,0.93121,0.74345,98,0.91774,0.87848,0.92232,0.74345,0.91442,0.73807
Baseline,s2,100,80,0.91422,0.87402,0.90613,0.7334,0.91422,0.87402,0.90486,0.72706,0.91405,0.7334,0.92489,0.72706,80,0.91422,0.87402,0.90486,0.72706,0.89073,0.71411
Baseline,s3,100,100,0.93054,0.82677,0.90862,0.732,0.9388,0.84548,0.91484,0.72401,0.91772,0.73283,0.93209,0.72552,75,0.92528,0.87756,0.9067,0.72552,0.91484,0.72401
Baseline,s4,100,85,0.89738,0.89764,0.91176,0.75131,0.89738,0.89764,0.91274,0.74955,0.91839,0.75131,0.93961,0.74955,85,0.89738,0.89764,0.91274,0.74955,0.91375,0.72822
Baseline,s5,100,88,0.91775,0.87857,0.89926,0.72612,0.92597,0.88645,0.91071,0.70728,0.90764,0.72612,0.92471,0.70728,88,0.92597,0.88645,0.91071,0.70728,0.88475,0.68413
TSVM,s0,100,100,0.88064,0.87141,0.90198,0.73369,0.88859,0.87929,0.90605,0.72006,0.92727,0.73369,0.93018,0.72345,95,0.91354,0.85827,0.91017,0.72345,0.90605,0.72006
TSVM,s1,100,100,0.92078,0.82365,0.89115,0.74789,0.92952,0.83075,0.90595,0.7212,0.90569,0.74789,0.91758,0.72316,81,0.88294,0.89088,0.90947,0.72316,0.90595,0.7212
TSVM,s2,100,79,0.90137,0.85827,0.90914,0.73481,0.90964,0.86614,0.9146,0.72911,0.92417,0.73547,0.91727,0.73062,85,0.92721,0.84252,0.90617,0.73062,0.8891,0.71516
TSVM,s3,100,72,0.93251,0.81102,0.90174,0.74307,0.94157,0.8189,0.90882,0.71713,0.91946,0.74307,0.92921,0.71955,99,0.93309,0.83465,0.90555,0.71955,0.90318,0.71948
TSVM,s4,100,71,0.89629,0.8189,0.91202,0.72859,0.91363,0.83465,0.92682,0.72024,0.9144,0.72881,0.92682,0.72024,71,0.91363,0.83465,0.92682,0.72024,0.90154,0.71051
TSVM,s5,100,89,0.90298,0.87402,0.91742,0.75047,0.93244,0.86614,0.92244,0.7308,0.92481,0.75047,0.93437,0.7308,89,0.93244,0.86614,0.92244,0.7308,0.925,0.72982
IAVM,s0,100,91,0.88248,0.88693,0.92649,0.73919,0.8903,0.8947,0.93194,0.74259,0.92757,0.74591,0.93194,0.74259,91,0.8903,0.8947,0.93194,0.74259,0.9144,0.73253
IAVM,s1,100,93,0.90837,0.88189,0.90553,0.7427,0.91094,0.88597,0.91764,0.74657,0.91811,0.74682,0.92502,0.74657,93,0.91094,0.88597,0.91764,0.74657,0.91174,0.73644
IAVM,s2,100,85,0.87132,0.90641,0.90492,0.73164,0.87132,0.90641,0.90246,0.7312,0.92186,0.73164,0.92455,0.7312,85,0.87132,0.90641,0.90246,0.7312,0.87576,0.69211
IAVM,s3,100,97,0.83671,0.88976,0.91451,0.74745,0.84666,0.89764,0.91717,0.72918,0.92232,0.74745,0.92505,0.73227,99,0.87257,0.88189,0.92176,0.73227,0.91894,0.73034
IAVM,s4,100,79,0.88317,0.88976,0.92047,0.7434,0.88317,0.88976,0.90348,0.72968,0.93177,0.7434,0.92717,0.72968,79,0.88317,0.88976,0.90348,0.72968,0.90326,0.71471
IAVM,s5,100,78,0.92328,0.85039,0.91882,0.74621,0.92328,0.85039,0.91673,0.73749,0.92538,0.74621,0.93102,0.74093,79,0.91383,0.84252,0.92635,0.74093,0.90803,0.7218
